TT     PID     AT     CT   IO_D      WT     RT    TRT
34054    347    847     54     28    33206    482  33206
34102    525   1285     66     26    32816      0  32816
34167    165    404     68      0    33762    215  33762
34176    434   1065     59      0    33110   2369  33110
34180    436   1069     59      0    33110   2375  33110
34202    246    622     54     31    33579    491  33579
34260    180    452     54     32    33807    517  33807
34302    649   1592     56      1    32709   2086  32709
34346    575   1400     63      9    32945    274  32945
34695    584   1425     55     34    33269    478  33269
34703    309    744     70     16    33958      0  33958
34732    104    252     55     15    34479   1210  34479
34851    301    735     59     15    34115    985  34115
34874    488   1184     59      0    33689   3826  33689
34894     78    195     68      0    34698    379  34698
34896    311    752     53      9    34143   4313  34143
34903    153    382     58     27    34520      0  34520
34907    199    485     59      0    34421   4605  34421
35047    103    250     55      8    34796   5123  34796
35108    501   1217     56     30    33890   1099  33890
35116    507   1227     50     23    33888   4238  33888
35195     47    107     84     10    35087      0  35087
35227     92    214     61     22    35012    650  35012
35247     34     76     66     34    35170     61  35170
35290    152    379     68      0    34910   1992  34910
35383    368    905     62      9    34477    453  34477
35475    411   1018     62      0    34456   2365  34456
35502    245    619     65      0    34882    489  34882
35567    287    707     64     12    34859    469  34859
35616    472   1136     59     25    34479    473  34479
35694    156    388     67      9    35305    295  35305
35711    175    430     69      5    35280    509  35280
35760    366    899     63      0    34860   3111  34860
35780    182    455     60      1    35324   3604  35324
35986    588   1434     66      0    34551    494  34551
36050     14     22     79      0    36027     62  36027
36130    672   1646     64     24    34483      0  34483
36148    696   1698     62      9    34449    942  34449
36200     59    146     72      0    36053    843  36053
36203     94    219     81     28    35983      5  35983
36293     54    130     56     15    36162   5198  36162
36358    459   1114     99     10    35243      2  35243
36488    231    586     58     29    35901   2245  35901
36562    623   1524     63      7    35037   1486  35037
36571    629   1538     67      0    35032   1517  35032
36581    632   1547     68      0    35033   1518  35033
36642    552   1344     65      8    35297    467  35297
36734    443   1085     60     13    35648   2379  35648
36739    230    582     91     28    36156      0  36156
36743    444   1085     59     26    35657   2384  35657
36765    463   1117     61     10    35647   2407  35647
36858    573   1395     70      3    35462    269  35462
36872     38     83     71      0    36788    560  36788
36881    467   1130     59     22    35750   2690  35750
36914    377    921     70      0    35992   1232  35992
36922    381    929     62      8    35992   3004  35992
36929    385    943     65      0    35985   3012  35985
36942    177    439     62     27    36502    515  36502
37023    426   1046    101      1    35976      2  35976
37031    479   1161     70      0    35869   1361  35869
37085     68    166     67     14    36918    853  36918
37140    675   1651     57     11    35488   2809  35488
37184    589   1438     63     34    35745    495  35745
37232    615   1503     67     18    35728      7  35728
37280    698   1706     62      3    35573   3169  35573
37355    395    973     67      4    36381    989  36381
37375    304    739     72      0    36635   1906  36635
37572    378    921    100      4    36650      0  36650
37658    122    299     85     10    37358      1  37358
37662    169    414     75      0    37247   1942  37247
37684    631   1545     69      0    36138   1470  36138
37809    236    597     73      4    37211   1500  37211
37847    272    683     70      2    37163    459  37163
37891    451   1102     71      3    36788    472  36788
37925     39     84     87      0    37840    134  37840
37928    117    286     82      0    37641    244  37641
37942    574   1396     75      9    36545    273  36545
37971    558   1357     71      3    36613    472  36613
38009    364    892     66     10    37116   3103  37116
38036    116    281     69     24    37754    244  37754
38045    269    679     71      0    37365   3434  37365
38050    108    263     76      0    37786    938  37786
38057    266    672     61     34    37384   3426  37384
38077    477   1155     76      0    36921   1352  36921
38086    239    602     71     14    37483    481  37483
38139     42     92     78      0    38046    230  38046
38329    523   1275     76     10    37053    472  37053
38347     16     26     86      2    38320     68  38320
38379    391    962     68      6    37416   4156  37416
38413    188    467     71      1    37945   2188  37945
38455     30     69     73      1    38385     93  38385
38457     24     50     75      9    38406    107  38406
38527    518   1256     65      5    37270   1491  37270
38529    521   1270     69      0    37258   4263  37258
38641     13     18     80      2    38622    392  38622
38647    502   1222     71      7    37424   1099  37424
38755    548   1338     76      0    37416   1965  37416
38770    553   1344     68     17    37425   1964  37425
38782    215    538     73      8    38243    983  38243
38784     52    124     73     23    38659    114  38659
38794    238    598     72     14    38195   1815  38195
38806    430   1057     69      2    37748   2372  37748
38825    412   1018     75     14    37806      0  37806
38873    469   1134     70     14    37738    465  37738
38885    653   1603     69      6    37281   2103  37281
38899    461   1116     71      2    37782   2692  37782
38901    254    639     69      1    38261   3205  38261
38924    379    924     69      9    37999   3004  37999
38977    109    265     78      0    38711    941  38711
39037     65    158     72     34    38878    856  38878
39056    661   1622     79      0    37433    555  37433
39095    580   1413     67     11    37681   3087  37681
39134    106    256     79      0    38877   1215  38877
39151    139    344     81      5    38806    473  38806
39163    220    557     77      0    38605    226  38605
39180    684   1673     73      0    37506   3137  37506
39213    528   1291     78      0    37921    449  37921
39245    198    481     65     23    38763   4604  38763
39248     44     95     66     21    39152   5000  39152
39267    260    657     75      7    38609   1330  38609
39275    133    329     89     26    38945      0  38945
39352    613   1496     71     12    37855    779  37855
39455    297    727     84     13    38727      0  38727
39519    138    341     76     13    39177   1195  39177
39551    345    846     77      6    38704    473  38704
39663    465   1124     80      0    38538   2420  38538
39701    643   1580     73      6    38120   2079  38120
39714    569   1390     82      0    38323    254  38323
39737    356    867     86      1    38869    516  38869
39749    176    435     77      4    39313    514  39313
39767    183    460     74      4    39306   3609  39306
39804    480   1164     80      7    38639   1363  38639
39866    609   1486    102     12    38379      5  38379
39945    202    497     71     36    39447   4210  39447
39958    679   1658     78      0    38299   3134  38299
39975    300    735     79      5    39239    975  39239
40058     88    209     90      4    39848    136  39848
40064    257    646     78      0    39417   4655  39417
40083     55    132     71      9    39950   5201  39950
40118    253    637     76      6    39480   2061  39480
40136    515   1248     78      8    38887   1485  38887
40203    433   1063     78      7    39139    944  39139
40213    263    669     83     18    39543      0  39543
40238    235    592     80      5    39645   2261  39645
40242    233    589     79      3    39652   2252  39652
40269     41     90    104     15    40178      0  40178
40284    192    472     95      0    39811    235  39811
40307    351    859     82      2    39447    511  39447
40310    350    856     82      5    39453    509  39453
40360    332    802     80     12    39557   1250  39557
40375    422   1038     84      0    39336   2355  39336
40395    281    701     78      9    39693    455  39693
40435    572   1393     88      0    39041    266  39041
40445    255    639     80      7    39805   3210  39805
40453     67    162    102      0    40290    140  40290
40460    363    890     77      1    39569   3100  39569
40468    373    912     82      0    39555   3113  39555
40482    195    476     80      8    40005    272  40005
40534    407   1008     75     16    39525   3316  39525
40541    409   1014     73     23    39526   3315  39526
40545    222    557     91      0    39987    231  39987
40567    633   1552     93     25    39014      6  39014
40574    585   1425     85      0    39148    483  39148
40584    590   1441     88      0    39142    497  39142
40611    595   1448     73     14    39162   3171  39162
40764    498   1212     85      0    39551   1089  39551
40815    319    772     79      6    40042   4794  40042
40846    388    954     84     30    39891      0  39891
40868     85    204     85      1    40663    191  40663
40885    622   1524     85      0    39360   1481  39360
40903    636   1561     82     10    39341   1516  39341
40913    346    847     84     22    40065    477  40065
40936    544   1327     82      2    39608   1956  39608
40961    224    562     96      0    40398   1520  40398
40969    419   1033     86      0    39935   2355  39935
40979    249    630     84     34    40348    502  40348
40994    243    614     98     33    40379      6  40379
41028    187    462     90      0    40565    197  40565
41043    341    831     89     24    40211      4  40211
41128    536   1314     99     23    39813      0  39813
41152    600   1462     87      0    39689   3177  39689
41172    674   1648     88      0    39523   3125  39523
41176    132    325     95      0    40850    487  40850
41257    191    468     87      2    40788   2202  40788
41270    258    648     86      0    40621   4658  40621
41272     56    133     81      7    41138   5205  41138
41276     66    161     87      8    41114    136  41114
41327    295    721     93      2    40605      0  40605
41335    318    767     82      1    40567   4793  40567
41380    333    807     78     12    40572   4918  40572
